# instance_id,shares
0,0.066061
1,-0.179564
2,-0.016618
3,-0.083243
4,-0.115156
5,1.087930
6,-0.051854
7,-0.237910
8,-0.153551
9,0.646479
10,-0.006435
11,0.158770
12,0.128036
13,0.235007
14,0.117978
15,-0.663207
16,-0.419949
17,-0.249038
18,0.656207
19,0.281444
20,0.145693
21,0.019582
22,0.235957
23,1.466632
24,-0.118330
25,0.055524
26,-0.091127
27,0.625665
28,0.087342
29,-0.117755
30,0.337218
31,0.194951
32,0.273080
33,0.604675
34,-0.230599
35,0.663866
36,0.146521
37,0.970072
38,0.257524
39,0.681669
40,-0.329937
41,-0.942163
42,-0.004362
43,-1.492796
44,-0.615776
45,0.409547
46,-0.124320
47,0.491185
48,-0.200089
49,0.045255
50,0.343348
51,0.419935
52,0.422886
53,-0.214125
54,0.373341
55,-0.001642
56,0.652190
57,0.340392
58,0.065455
59,1.353543
60,0.174861
61,0.234632
62,0.926055
63,-0.268610
64,-0.445075
65,0.029110
66,0.032416
67,0.461257
68,0.059460
69,0.616436
70,0.384366
71,0.050198
72,-0.158703
73,-0.074399
74,0.536499
75,1.007046
76,0.223555
77,0.617681
78,0.398133
79,0.077698
80,1.264250
81,0.434197
82,0.201128
83,0.529341
84,-0.129032
85,0.291526
86,0.034873
87,1.242726
88,-0.218519
89,0.264434
90,-0.073407
91,0.102285
92,-0.291384
93,0.292307
94,0.395143
95,0.162837
96,0.141099
97,-0.147558
98,0.114732
99,0.066964
100,-0.329004
101,0.380222
102,-0.014487
103,0.715637
104,-0.054662
105,0.328472
106,0.244603
107,0.468410
108,0.445516
109,0.140437
110,0.473662
111,0.147759
112,0.011997
113,-0.021856
114,-0.293383
115,-0.411384
116,0.281705
117,1.207270
118,0.588294
119,0.523429
120,-0.713897
121,-0.075274
122,0.265683
123,0.582581
124,0.059869
125,0.092681
126,-0.155027
127,-0.080329
128,0.307074
129,0.109682
130,-0.164542
131,0.119715
132,0.075358
133,-0.200070
134,-0.342641
135,0.288720
136,0.085632
137,0.140117
138,-0.274265
139,0.035556
140,-0.129881
141,0.003572
142,0.058818
143,0.337748
144,-0.358269
145,-0.187397
146,0.027563
147,-0.329436
148,0.139264
149,0.221513
150,0.399263
151,0.111024
152,0.330901
153,0.371862
154,0.201877
155,0.713037
156,-0.042762
157,0.064144
158,-0.113935
159,0.042024
160,0.141637
161,0.848208
162,0.464636
163,0.279834
164,-0.186339
165,-0.216789
166,0.055781
167,0.352511
168,0.013795
169,0.402130
170,-0.064939
171,0.119729
172,0.112750
173,-0.013818
174,0.350152
175,0.218997
176,-0.090618
177,-0.034011
178,5.680252
179,-0.239219
180,-0.169345
181,0.126059
182,0.244506
183,0.122236
184,0.014127
185,0.575570
186,1.095137
187,-0.438700
188,0.843017
189,0.257032
190,0.049666
191,0.255816
192,-0.191881
193,0.148808
194,0.143656
195,0.384700
196,0.145494
197,-0.463234
198,0.966338
199,-0.380377
200,-0.123859
201,-0.222516
202,0.371272
203,0.027790
204,0.409345
205,-0.311365
206,-0.230683
207,-0.078426
208,-0.129740
209,0.092671
210,0.867615
211,0.127331
212,0.584167
213,0.102805
214,0.242013
215,-0.381747
216,-0.339790
217,0.135372
218,-0.019643
219,0.106027
220,0.678406
221,0.023274
222,0.192809
223,0.199325
224,0.023668
225,0.513735
226,0.622975
227,-0.016140
228,0.377544
229,-0.166674
230,-0.091363
231,0.437625
232,0.231821
233,0.552954
234,0.146786
235,0.419006
236,-0.373602
237,1.022899
238,0.342942
239,1.097194
240,0.958945
241,-0.176542
242,-0.091845
243,-0.218638
244,0.279487
245,0.895943
246,0.520276
247,0.868210
248,-0.015426
249,0.131671
250,-0.102083
251,0.021986
252,0.492709
253,0.340414
254,0.058252
255,-0.304269
256,0.302968
257,0.498724
258,0.389028
259,0.144073
260,0.624105
261,0.199281
262,0.206838
263,-0.201078
264,-0.073147
265,0.077513
266,0.027547
267,0.192869
268,0.156193
269,0.263544
270,0.038548
271,-0.011779
272,0.314476
273,-0.154767
274,-0.013750
275,-0.090930
276,1.269406
277,-0.137393
278,0.258734
279,0.359624
280,3.580177
281,-0.025926
282,-2.204529
283,-0.356400
284,-0.229206
285,0.130714
286,0.166672
287,0.671750
288,-0.062685
289,0.122100
290,-0.094461
291,-0.107114
292,0.379725
293,-0.328481
294,-0.157513
295,0.456141
296,-0.142326
297,-0.075123
298,0.336995
299,0.335342
300,0.165828
301,0.331146
302,-0.052323
303,0.007522
304,-0.118630
305,0.611584
306,0.661241
307,0.215981
308,1.199985
309,2.296976
310,-0.068087
311,0.051272
312,0.723296
313,-0.100842
314,0.486918
315,0.306112
316,0.136110
317,-0.001827
318,0.081188
319,0.121198
320,-0.126704
321,-0.144341
322,-0.096293
323,1.653395
324,0.134060
325,0.740207
326,-0.175303
327,0.282820
328,-0.445824
329,0.018796
330,0.419324
331,-0.247775
332,0.067597
333,-0.208595
334,0.556919
335,-0.234537
336,0.167607
337,0.284292
338,0.391166
339,0.269097
340,0.328128
341,-0.188718
342,0.046873
343,0.346869
344,0.089411
345,0.246677
346,-0.098832
347,0.476588
348,0.661103
349,0.635632
350,0.218983
351,0.434350
352,0.378757
353,0.248217
354,0.540927
355,0.214865
356,-0.135653
357,-0.230183
358,-0.061218
359,0.299735
360,-0.474928
361,-0.160526
362,0.021626
363,0.424787
364,0.153844
365,0.374258
366,0.142423
367,-0.052162
368,0.471890
369,1.030991
370,-0.152941
371,-0.258265
372,-0.164379
373,0.182325
374,0.086534
375,0.030068
376,1.065998
377,0.227682
378,0.102598
379,0.090974
380,-0.160662
381,0.030945
382,0.735645
383,0.310323
384,0.764082
385,-0.103238
386,0.082598
387,-0.065343
388,0.182493
389,-0.117704
390,-0.464703
391,1.071692
392,0.099731
393,0.240858
394,0.091666
395,-0.096786
396,0.054466
397,0.175634
398,0.207784
399,0.070859
400,0.649245
401,0.498211
402,0.310851
403,0.282084
404,0.366141
